0, y+, 0, 0, 1
1, x-, 0, 1, 1
2, x-, 0, 2, 1
3, y-, 0, 2, 1
4, y-, 0, 2, 1
5, x+, 1, 2, 1
6, x+, 2, 2, 1
7, y+, 2, 2, 2
8, y+, 2, 2, 3
9, y-, 2, 2, 3
10, x+, 3, 2, 3
11, y+, 3, 2, 4
12, y-, 3, 2, 4
13, y+, 3, 2, 5
14, x-, 3, 3, 5
15, y+, 3, 3, 6
16, y-, 3, 3, 6
17, y-, 3, 3, 6
18, y-, 3, 3, 6
19, y+, 3, 3, 7
20, y+, 3, 3, 8
21, x-, 3, 4, 8
22, y+, 3, 4, 9
23, y+, 3, 4, 10
24, y-, 3, 4, 10
25, y+, 3, 4, 11
26, y-, 3, 4, 11
27, y+, 3, 4, 12
28, x+, 4, 4, 12
29, y-, 4, 4, 12
30, x+, 5, 4, 12
31, y-, 5, 4, 12
32, y-, 5, 4, 12
33, x+, 6, 4, 12
34, x-, 6, 5, 12
35, x-, 6, 6, 12
36, x+, 7, 6, 12
37, x-, 7, 7, 12
38, y+, 7, 7, 13
39, x+, 8, 7, 13
40, x-, 8, 8, 13
41, y+, 8, 8, 14
42, y+, 8, 8, 15
43, y+, 8, 8, 16
44, x-, 8, 9, 16
45, x+, 9, 9, 16
46, y-, 9, 9, 16
47, y+, 9, 9, 17
48, x-, 9, 10, 17
49, y+, 9, 10, 18
