0, y-, 0, 0, 0
1, y-, 0, 0, 0
2, y-, 0, 0, 0
3, y-, 0, 0, 0
4, x-, 0, 1, 0
5, x+, 1, 1, 0
6, x+, 2, 1, 0
7, x-, 2, 2, 0
8, x-, 2, 3, 0
9, y+, 2, 3, 1
10, y+, 2, 3, 2
11, x-, 2, 4, 2
12, x-, 2, 5, 2
13, x+, 3, 5, 2
14, y-, 3, 5, 2
15, y-, 3, 5, 2
16, y-, 3, 5, 2
17, x+, 4, 5, 2
18, x+, 5, 5, 2
19, x+, 6, 5, 2
20, x+, 7, 5, 2
21, x-, 7, 6, 2
22, y+, 7, 6, 3
23, x-, 7, 7, 3
24, y-, 7, 7, 3
25, x-, 7, 8, 3
26, x+, 8, 8, 3
27, y-, 8, 8, 3
28, x+, 9, 8, 3
29, x+, 10, 8, 3
30, y+, 10, 8, 4
31, x-, 10, 9, 4
32, y+, 10, 9, 5
33, y-, 10, 9, 5
34, x+, 11, 9, 5
35, y-, 11, 9, 5
36, x-, 11, 10, 5
37, y+, 11, 10, 6
38, x+, 12, 10, 6
39, y-, 12, 10, 6
40, x+, 13, 10, 6
41, y-, 13, 10, 6
42, y+, 13, 10, 7
43, x-, 13, 11, 7
44, y-, 13, 11, 7
45, x-, 13, 12, 7
46, y-, 13, 12, 7
47, y-, 13, 12, 7
48, x+, 14, 12, 7
49, x-, 14, 13, 7
