0, x-, 0, 1, 0
1, x-, 0, 2, 0
2, y+, 0, 2, 1
3, y-, 0, 2, 1
4, y+, 0, 2, 2
5, x+, 1, 2, 2
6, y+, 1, 2, 3
7, x-, 1, 3, 3
8, y-, 1, 3, 3
9, y-, 1, 3, 3
10, x-, 1, 4, 3
11, y-, 1, 4, 3
12, y-, 1, 4, 3
13, x+, 2, 4, 3
14, x+, 3, 4, 3
15, y-, 3, 4, 3
16, y-, 3, 4, 3
17, y+, 3, 4, 4
18, y-, 3, 4, 4
19, y-, 3, 4, 4
20, x+, 4, 4, 4
21, x-, 4, 5, 4
22, x-, 4, 6, 4
23, y+, 4, 6, 5
24, y+, 4, 6, 6
25, x-, 4, 7, 6
26, y-, 4, 7, 6
27, y+, 4, 7, 7
28, y-, 4, 7, 7
29, y-, 4, 7, 7
30, y-, 4, 7, 7
31, y-, 4, 7, 7
32, y+, 4, 7, 8
33, y+, 4, 7, 9
34, y-, 4, 7, 9
35, x+, 5, 7, 9
36, y-, 5, 7, 9
37, y+, 5, 7, 10
38, y-, 5, 7, 10
39, x-, 5, 8, 10
40, y+, 5, 8, 11
41, y+, 5, 8, 12
42, y-, 5, 8, 12
43, x+, 6, 8, 12
44, y+, 6, 8, 13
45, x+, 7, 8, 13
46, x+, 8, 8, 13
47, x+, 9, 8, 13
48, y+, 9, 8, 14
49, y-, 9, 8, 14
