0, y+, 0, 0, 1
1, x-, 0, 1, 1
2, x+, 1, 1, 1
3, y-, 1, 1, 1
4, y+, 1, 1, 2
5, y-, 1, 1, 2
6, y+, 1, 1, 3
7, x-, 1, 2, 3
8, x-, 1, 3, 3
9, y+, 1, 3, 4
10, x-, 1, 4, 4
11, x-, 1, 5, 4
12, y+, 1, 5, 5
13, x-, 1, 6, 5
14, x-, 1, 7, 5
15, y-, 1, 7, 5
16, y-, 1, 7, 5
17, y+, 1, 7, 6
18, y-, 1, 7, 6
19, y+, 1, 7, 7
20, x-, 1, 8, 7
21, x+, 2, 8, 7
22, y+, 2, 8, 8
23, y+, 2, 8, 9
24, x-, 2, 9, 9
25, y+, 2, 9, 10
26, x+, 3, 9, 10
27, y-, 3, 9, 10
28, y-, 3, 9, 10
29, x-, 3, 10, 10
30, x-, 3, 11, 10
31, y+, 3, 11, 11
32, x-, 3, 12, 11
33, x+, 4, 12, 11
34, x+, 5, 12, 11
35, x+, 6, 12, 11
36, x+, 7, 12, 11
37, x+, 8, 12, 11
38, y+, 8, 12, 12
39, y+, 8, 12, 13
40, y+, 8, 12, 14
41, x+, 9, 12, 14
42, y+, 9, 12, 15
43, x-, 9, 13, 15
44, y-, 9, 13, 15
45, y-, 9, 13, 15
46, y+, 9, 13, 16
47, x-, 9, 14, 16
48, y+, 9, 14, 17
49, x+, 10, 14, 17
