0, x+, 1, 0, 0
1, x+, 2, 0, 0
2, x+, 3, 0, 0
3, x+, 4, 0, 0
4, y+, 4, 0, 1
5, y+, 4, 0, 2
6, x+, 5, 0, 2
7, y+, 5, 0, 3
8, y-, 5, 0, 3
9, x-, 5, 1, 3
10, x-, 5, 2, 3
11, x+, 6, 2, 3
12, y-, 6, 2, 3
13, x-, 6, 3, 3
14, y-, 6, 3, 3
15, y+, 6, 3, 4
16, y-, 6, 3, 4
17, y+, 6, 3, 5
18, x-, 6, 4, 5
19, x+, 7, 4, 5
20, x-, 7, 5, 5
21, y+, 7, 5, 6
22, x-, 7, 6, 6
23, y-, 7, 6, 6
24, x-, 7, 7, 6
25, x-, 7, 8, 6
26, x-, 7, 9, 6
27, y-, 7, 9, 6
28, x-, 7, 10, 6
29, x+, 8, 10, 6
30, x-, 8, 11, 6
31, y-, 8, 11, 6
32, x-, 8, 12, 6
33, x-, 8, 13, 6
34, x-, 8, 14, 6
35, x+, 9, 14, 6
36, x-, 9, 15, 6
37, x-, 9, 16, 6
38, y-, 9, 16, 6
39, y+, 9, 16, 7
40, x+, 10, 16, 7
41, x-, 10, 17, 7
42, x+, 11, 17, 7
43, y+, 11, 17, 8
44, y-, 11, 17, 8
45, x+, 12, 17, 8
46, y-, 12, 17, 8
47, y-, 12, 17, 8
48, y+, 12, 17, 9
49, x+, 13, 17, 9
