0, y+, 0, 0, 1
1, y+, 0, 0, 2
2, x+, 1, 0, 2
3, y+, 1, 0, 3
4, x-, 1, 1, 3
5, x-, 1, 2, 3
6, y-, 1, 2, 3
7, x-, 1, 3, 3
8, x-, 1, 4, 3
9, x+, 2, 4, 3
10, x+, 3, 4, 3
11, y-, 3, 4, 3
12, y-, 3, 4, 3
13, y-, 3, 4, 3
14, x-, 3, 5, 3
15, y-, 3, 5, 3
16, y+, 3, 5, 4
17, x-, 3, 6, 4
18, x+, 4, 6, 4
19, y+, 4, 6, 5
20, x-, 4, 7, 5
21, x+, 5, 7, 5
22, y-, 5, 7, 5
23, y+, 5, 7, 6
24, y+, 5, 7, 7
25, x-, 5, 8, 7
26, x-, 5, 9, 7
27, x+, 6, 9, 7
28, x-, 6, 10, 7
29, x-, 6, 11, 7
30, x-, 6, 12, 7
31, y-, 6, 12, 7
32, y+, 6, 12, 8
33, x+, 7, 12, 8
34, x+, 8, 12, 8
35, x+, 9, 12, 8
36, x+, 10, 12, 8
37, y+, 10, 12, 9
38, x+, 11, 12, 9
39, y+, 11, 12, 10
40, x-, 11, 13, 10
41, x-, 11, 14, 10
42, y-, 11, 14, 10
43, x-, 11, 15, 10
44, y+, 11, 15, 11
45, y+, 11, 15, 12
46, x+, 12, 15, 12
47, x-, 12, 16, 12
48, y+, 12, 16, 13
49, y+, 12, 16, 14
