0, -0.1, -0.1, 0.4, x-, y-, y-, 0, 1, 0
1, 0.0, -0.2, 0.30000000000000004, x+, y-, y-, 1, 1, 0
2, -0.1, -0.1, 0.20000000000000004, x-, y+, y-, 1, 2, 1
3, -0.2, 0.0, 0.10000000000000003, x-, y+, y-, 1, 3, 2
4, -0.1, -0.1, 2.7755575615628914e-17, x+, y-, y-, 2, 3, 2
5, -0.2, -0.2, 0.10000000000000003, x-, y-, y+, 2, 4, 2
6, -0.30000000000000004, -0.1, 2.7755575615628914e-17, x-, y+, y-, 2, 5, 3
7, -0.4, -0.2, 2.7755575615628914e-17, x-, y-, y-, 2, 6, 3
8, -0.5, -0.30000000000000004, 0.10000000000000003, x-, y-, y+, 2, 7, 3
9, -0.4, -0.4, 2.7755575615628914e-17, x+, y-, y-, 3, 7, 3
10, -0.30000000000000004, -0.5, 0.10000000000000003, x+, y-, y+, 4, 7, 3
11, -0.4, -0.4, 0.20000000000000004, x-, y+, y+, 4, 8, 4
12, -0.30000000000000004, -0.5, 0.10000000000000003, x+, y-, y-, 5, 8, 4
13, -0.20000000000000004, -0.6, 0.20000000000000004, x+, y-, y+, 6, 8, 4
14, -0.10000000000000003, -0.7, 0.30000000000000004, x+, y-, y+, 7, 8, 4
15, -0.20000000000000004, -0.6, 0.4, x-, y+, y+, 7, 9, 5
16, -0.30000000000000004, -0.5, 0.5, x-, y+, y+, 7, 10, 6
17, -0.20000000000000004, -0.4, 0.4, x+, y+, y-, 8, 10, 7
18, -0.30000000000000004, -0.30000000000000004, 0.5, x-, y+, y+, 8, 11, 8
19, -0.4, -0.20000000000000004, 0.6, x-, y+, y+, 8, 12, 9
20, -0.5, -0.10000000000000003, 0.5, x-, y+, y-, 8, 13, 10
21, -0.4, -2.7755575615628914e-17, 0.6, x+, y+, y+, 9, 13, 11
22, -0.5, -0.10000000000000003, 0.5, x-, y-, y-, 9, 14, 11
23, -0.6, -0.20000000000000004, 0.6, x-, y-, y+, 9, 15, 11
24, -0.5, -0.10000000000000003, 0.7, x+, y+, y+, 10, 15, 12
25, -0.4, -0.20000000000000004, 0.6, x+, y-, y-, 11, 15, 12
26, -0.5, -0.10000000000000003, 0.5, x-, y+, y-, 11, 16, 13
27, -0.4, -0.20000000000000004, 0.6, x+, y-, y+, 12, 16, 13
28, -0.30000000000000004, -0.10000000000000003, 0.7, x+, y+, y+, 13, 16, 14
29, -0.20000000000000004, -0.20000000000000004, 0.6, x+, y-, y-, 14, 16, 14
30, -0.30000000000000004, -0.10000000000000003, 0.7, x-, y+, y+, 14, 17, 15
31, -0.4, -2.7755575615628914e-17, 0.6, x-, y+, y-, 14, 18, 16
32, -0.30000000000000004, -0.10000000000000003, 0.7, x+, y-, y+, 15, 18, 16
33, -0.20000000000000004, -0.20000000000000004, 0.7999999999999999, x+, y-, y+, 16, 18, 16
34, -0.30000000000000004, -0.30000000000000004, 0.8999999999999999, x-, y-, y+, 16, 19, 16
35, -0.4, -0.4, 0.7999999999999999, x-, y-, y-, 16, 20, 16
36, -0.5, -0.5, 0.7, x-, y-, y-, 16, 21, 16
37, -0.6, -0.6, 0.7999999999999999, x-, y-, y+, 16, 22, 16
38, -0.7, -0.7, 0.8999999999999999, x-, y-, y+, 16, 23, 16
39, -0.6, -0.7999999999999999, 0.9999999999999999, x+, y-, y+, 17, 23, 16
