0, -0.1, -0.1, 0.4, x-, y-, y-, 0, 1, 0
1, -0.2, -0.2, 0.5, x-, y-, y+, 0, 2, 0
2, -0.30000000000000004, -0.30000000000000004, 0.4, x-, y-, y-, 0, 3, 0
3, -0.20000000000000004, -0.4, 0.30000000000000004, x+, y-, y-, 1, 3, 0
4, -0.10000000000000003, -0.30000000000000004, 0.20000000000000004, x+, y+, y-, 2, 3, 1
5, -0.20000000000000004, -0.20000000000000004, 0.30000000000000004, x-, y+, y+, 2, 4, 2
6, -0.30000000000000004, -0.30000000000000004, 0.20000000000000004, x-, y-, y-, 2, 5, 2
7, -0.4, -0.4, 0.30000000000000004, x-, y-, y+, 2, 6, 2
8, -0.5, -0.5, 0.4, x-, y-, y+, 2, 7, 2
9, -0.4, -0.4, 0.30000000000000004, x+, y+, y-, 3, 7, 3
10, -0.30000000000000004, -0.30000000000000004, 0.20000000000000004, x+, y+, y-, 4, 7, 4
11, -0.4, -0.4, 0.10000000000000003, x-, y-, y-, 4, 8, 4
12, -0.30000000000000004, -0.5, 0.20000000000000004, x+, y-, y+, 5, 8, 4
13, -0.4, -0.4, 0.10000000000000003, x-, y+, y-, 5, 9, 5
14, -0.30000000000000004, -0.5, 0.10000000000000003, x+, y-, y-, 6, 9, 5
15, -0.20000000000000004, -0.4, 0.10000000000000003, x+, y+, y-, 7, 9, 6
16, -0.30000000000000004, -0.5, 0.10000000000000003, x-, y-, y-, 7, 10, 6
17, -0.20000000000000004, -0.4, 0.20000000000000004, x+, y+, y+, 8, 10, 7
18, -0.10000000000000003, -0.30000000000000004, 0.30000000000000004, x+, y+, y+, 9, 10, 8
19, -0.20000000000000004, -0.4, 0.4, x-, y-, y+, 9, 11, 8
20, -0.30000000000000004, -0.5, 0.30000000000000004, x-, y-, y-, 9, 12, 8
21, -0.4, -0.4, 0.4, x-, y+, y+, 9, 13, 9
22, -0.30000000000000004, -0.5, 0.30000000000000004, x+, y-, y-, 10, 13, 9
23, -0.20000000000000004, -0.4, 0.4, x+, y+, y+, 11, 13, 10
24, -0.30000000000000004, -0.30000000000000004, 0.5, x-, y+, y+, 11, 14, 11
25, -0.20000000000000004, -0.4, 0.6, x+, y-, y+, 12, 14, 11
26, -0.30000000000000004, -0.5, 0.7, x-, y-, y+, 12, 15, 11
27, -0.20000000000000004, -0.6, 0.6, x+, y-, y-, 13, 15, 11
28, -0.30000000000000004, -0.5, 0.7, x-, y+, y+, 13, 16, 12
29, -0.4, -0.4, 0.7999999999999999, x-, y+, y+, 13, 17, 13
30, -0.30000000000000004, -0.5, 0.7, x+, y-, y-, 14, 17, 13
31, -0.4, -0.4, 0.6, x-, y+, y-, 14, 18, 14
32, -0.5, -0.5, 0.5, x-, y-, y-, 14, 19, 14
33, -0.6, -0.6, 0.6, x-, y-, y+, 14, 20, 14
34, -0.5, -0.7, 0.7, x+, y-, y+, 15, 20, 14
35, -0.4, -0.7999999999999999, 0.7999999999999999, x+, y-, y+, 16, 20, 14
36, -0.5, -0.7, 0.8999999999999999, x-, y+, y+, 16, 21, 15
37, -0.6, -0.7999999999999999, 0.7999999999999999, x-, y-, y-, 16, 22, 15
38, -0.5, -0.7, 0.8999999999999999, x+, y+, y+, 17, 22, 16
39, -0.6, -0.6, 0.9999999999999999, x-, y+, y+, 17, 23, 17
