0, 0.1, 0.1, 0.4, x+, y+, 1, 0, 1, 0
1, 0.0, 0.2, 0.4, x-, y+, 1, 1, 2, 0
2, -0.1, 0.30000000000000004, 0.4, x-, y+, 1, 2, 3, 0
3, 0.0, 0.20000000000000004, 0.4, x+, y-, 2, 2, 3, 1
4, -0.1, 0.30000000000000004, 0.4, x-, y+, 2, 3, 4, 1
5, -0.2, 0.20000000000000004, 0.4, x-, y-, 2, 4, 4, 2
6, -0.30000000000000004, 0.30000000000000004, 0.4, x-, y+, 2, 5, 5, 2
7, -0.20000000000000004, 0.4, 0.4, x+, y+, 3, 5, 6, 2
8, -0.30000000000000004, 0.5, 0.4, x-, y+, 3, 6, 7, 2
9, -0.4, 0.6, 0.4, x-, y+, 3, 7, 8, 2
10, -0.30000000000000004, 0.5, 0.4, x+, y-, 4, 7, 8, 3
11, -0.20000000000000004, 0.6, 0.4, x+, y+, 5, 7, 9, 3
12, -0.30000000000000004, 0.5, 0.4, x-, y-, 5, 8, 9, 4
13, -0.20000000000000004, 0.4, 0.4, x+, y-, 6, 8, 9, 5
14, -0.30000000000000004, 0.30000000000000004, 0.4, x-, y-, 6, 9, 9, 6
15, -0.20000000000000004, 0.4, 0.4, x+, y+, 7, 9, 10, 6
16, -0.30000000000000004, 0.5, 0.4, x-, y+, 7, 10, 11, 6
17, -0.20000000000000004, 0.6, 0.4, x+, y+, 8, 10, 12, 6
18, -0.30000000000000004, 0.5, 0.4, x-, y-, 8, 11, 12, 7
19, -0.4, 0.4, 0.4, x-, y-, 8, 12, 12, 8
20, -0.30000000000000004, 0.5, 0.4, x+, y+, 9, 12, 13, 8
21, -0.4, 0.4, 0.4, x-, y-, 9, 13, 13, 9
22, -0.30000000000000004, 0.30000000000000004, 0.4, x+, y-, 10, 13, 13, 10
23, -0.4, 0.4, 0.4, x-, y+, 10, 14, 14, 10
24, -0.30000000000000004, 0.5, 0.4, x+, y+, 11, 14, 15, 10
25, -0.20000000000000004, 0.6, 0.4, x+, y+, 12, 14, 16, 10
26, -0.10000000000000003, 0.5, 0.4, x+, y-, 13, 14, 16, 11
27, -0.20000000000000004, 0.4, 0.4, x-, y-, 13, 15, 16, 12
28, -0.30000000000000004, 0.5, 0.4, x-, y+, 13, 16, 17, 12
29, -0.20000000000000004, 0.6, 0.4, x+, y+, 14, 16, 18, 12
30, -0.10000000000000003, 0.7, 0.4, x+, y+, 15, 16, 19, 12
31, -2.7755575615628914e-17, 0.6, 0.4, x+, y-, 16, 16, 19, 13
32, 0.09999999999999998, 0.7, 0.4, x+, y+, 17, 16, 20, 13
33, 0.19999999999999998, 0.7999999999999999, 0.4, x+, y+, 18, 16, 21, 13
34, 0.3, 0.8999999999999999, 0.4, x+, y+, 19, 16, 22, 13
35, 0.4, 0.7999999999999999, 0.4, x+, y-, 20, 16, 22, 14
36, 0.5, 0.7, 0.4, x+, y-, 21, 16, 22, 15
37, 0.4, 0.7999999999999999, 0.4, x-, y+, 21, 17, 23, 15
38, 0.5, 0.7, 0.4, x+, y-, 22, 17, 23, 16
39, 0.4, 0.7999999999999999, 0.4, x-, y+, 22, 18, 24, 16
40, 0.30000000000000004, 0.7, 0.4, x-, y-, 22, 19, 24, 17
41, 0.4, 0.7999999999999999, 0.4, x+, y+, 23, 19, 25, 17
42, 0.30000000000000004, 0.7, 0.4, x-, y-, 23, 20, 25, 18
43, 0.4, 0.7999999999999999, 0.4, x+, y+, 24, 20, 26, 18
44, 0.30000000000000004, 0.8999999999999999, 0.4, x-, y+, 24, 21, 27, 18
45, 0.4, 0.9999999999999999, 0.4, x+, y+, 25, 21, 28, 18
46, 0.30000000000000004, 0.8999999999999999, 0.4, x-, y-, 25, 22, 28, 19
47, 0.20000000000000004, 0.9999999999999999, 0.4, x-, y+, 25, 23, 29, 19
48, 0.10000000000000003, 0.8999999999999999, 0.4, x-, y-, 25, 24, 29, 20
49, 0.20000000000000004, 0.9999999999999999, 0.4, x+, y+, 26, 24, 30, 20
