0, 0.1, R, 1
1, 0.2, R, 2
2, 0.1, L, 2
3, 0.0, L, 2
4, -0.1, L, 2
5, 0.0, R, 3
6, -0.1, L, 3
7, -0.2, L, 3
8, -0.30000000000000004, L, 3
9, -0.4, L, 3
10, -0.30000000000000004, R, 4
11, -0.4, L, 4
12, -0.30000000000000004, R, 5
13, -0.4, L, 5
14, -0.5, L, 5
15, -0.4, R, 6
16, -0.5, L, 6
17, -0.6, L, 6
18, -0.5, R, 7
19, -0.4, R, 8
20, -0.30000000000000004, R, 9
21, -0.20000000000000004, R, 10
22, -0.30000000000000004, L, 10
23, -0.20000000000000004, R, 11
24, -0.30000000000000004, L, 11
25, -0.20000000000000004, R, 12
26, -0.10000000000000003, R, 13
27, -2.7755575615628914e-17, R, 14
28, -0.10000000000000003, L, 14
29, -0.20000000000000004, L, 14
30, -0.30000000000000004, L, 14
31, -0.20000000000000004, R, 15
32, -0.10000000000000003, R, 16
33, -0.20000000000000004, L, 16
34, -0.30000000000000004, L, 16
35, -0.4, L, 16
36, -0.30000000000000004, R, 17
37, -0.4, L, 17
38, -0.30000000000000004, R, 18
39, -0.4, L, 18
