0, -0.1, -0.1, 0.4, x-, y-, y-, 0, 1, 0
1, 0.0, -0.2, 0.5, x+, y-, y+, 1, 1, 0
2, 0.1, -0.30000000000000004, 0.4, x+, y-, y-, 2, 1, 0
3, 0.2, -0.4, 0.5, x+, y-, y+, 3, 1, 0
4, 0.30000000000000004, -0.30000000000000004, 0.6, x+, y+, y+, 4, 1, 1
5, 0.20000000000000004, -0.20000000000000004, 0.5, x-, y+, y-, 4, 2, 2
6, 0.30000000000000004, -0.30000000000000004, 0.6, x+, y-, y+, 5, 2, 2
7, 0.4, -0.20000000000000004, 0.7, x+, y+, y+, 6, 2, 3
8, 0.30000000000000004, -0.30000000000000004, 0.6, x-, y-, y-, 6, 3, 3
9, 0.20000000000000004, -0.20000000000000004, 0.5, x-, y+, y-, 6, 4, 4
10, 0.10000000000000003, -0.10000000000000003, 0.4, x-, y+, y-, 6, 5, 5
11, 2.7755575615628914e-17, -0.20000000000000004, 0.5, x-, y-, y+, 6, 6, 5
12, 0.10000000000000003, -0.30000000000000004, 0.4, x+, y-, y-, 7, 6, 5
13, 2.7755575615628914e-17, -0.20000000000000004, 0.5, x-, y+, y+, 7, 7, 6
14, -0.09999999999999998, -0.30000000000000004, 0.4, x-, y-, y-, 7, 8, 6
15, -0.19999999999999998, -0.4, 0.30000000000000004, x-, y-, y-, 7, 9, 6
16, -0.3, -0.30000000000000004, 0.20000000000000004, x-, y+, y-, 7, 10, 7
17, -0.19999999999999998, -0.4, 0.30000000000000004, x+, y-, y+, 8, 10, 7
18, -0.09999999999999998, -0.30000000000000004, 0.20000000000000004, x+, y+, y-, 9, 10, 8
19, -0.19999999999999998, -0.20000000000000004, 0.30000000000000004, x-, y+, y+, 9, 11, 9
20, -0.09999999999999998, -0.30000000000000004, 0.20000000000000004, x+, y-, y-, 10, 11, 9
21, 2.7755575615628914e-17, -0.4, 0.10000000000000003, x+, y-, y-, 11, 11, 9
22, -0.09999999999999998, -0.5, 0.20000000000000004, x-, y-, y+, 11, 12, 9
23, 2.7755575615628914e-17, -0.4, 0.10000000000000003, x+, y+, y-, 12, 12, 10
24, 0.10000000000000003, -0.30000000000000004, 0.10000000000000003, x+, y+, y-, 13, 12, 11
25, 2.7755575615628914e-17, -0.20000000000000004, 0.10000000000000003, x-, y+, y-, 13, 13, 12
26, 0.10000000000000003, -0.10000000000000003, 0.20000000000000004, x+, y+, y+, 14, 13, 13
27, 2.7755575615628914e-17, -2.7755575615628914e-17, 0.30000000000000004, x-, y+, y+, 14, 14, 14
28, -0.09999999999999998, -0.10000000000000003, 0.4, x-, y-, y+, 14, 15, 14
29, -0.19999999999999998, -2.7755575615628914e-17, 0.30000000000000004, x-, y+, y-, 14, 16, 15
30, -0.3, 0.09999999999999998, 0.20000000000000004, x-, y+, y-, 14, 17, 16
31, -0.19999999999999998, -2.7755575615628914e-17, 0.10000000000000003, x+, y-, y-, 15, 17, 16
32, -0.3, 0.09999999999999998, 0.10000000000000003, x-, y+, y-, 15, 18, 17
33, -0.4, 0.19999999999999998, 0.10000000000000003, x-, y+, y-, 15, 19, 18
34, -0.5, 0.3, 0.20000000000000004, x-, y+, y+, 15, 20, 19
35, -0.4, 0.4, 0.30000000000000004, x+, y+, y+, 16, 20, 20
36, -0.30000000000000004, 0.5, 0.4, x+, y+, y+, 17, 20, 21
37, -0.4, 0.4, 0.5, x-, y-, y+, 17, 21, 21
38, -0.5, 0.30000000000000004, 0.4, x-, y-, y-, 17, 22, 21
39, -0.4, 0.4, 0.5, x+, y+, y+, 18, 22, 22
