0, 0.1, -0.1, 0.4, x+, y-, y-, 1, 0, 0
1, 0.2, 0.0, 0.5, x+, y+, y+, 2, 0, 1
2, 0.30000000000000004, 0.1, 0.6, x+, y+, y+, 3, 0, 2
3, 0.20000000000000004, 0.2, 0.5, x-, y+, y-, 3, 1, 3
4, 0.10000000000000003, 0.1, 0.4, x-, y-, y-, 3, 2, 3
5, 2.7755575615628914e-17, 0.2, 0.30000000000000004, x-, y+, y-, 3, 3, 4
6, -0.09999999999999998, 0.30000000000000004, 0.4, x-, y+, y+, 3, 4, 5
7, -0.19999999999999998, 0.20000000000000004, 0.30000000000000004, x-, y-, y-, 3, 5, 5
8, -0.3, 0.10000000000000003, 0.4, x-, y-, y+, 3, 6, 5
9, -0.4, 0.20000000000000004, 0.30000000000000004, x-, y+, y-, 3, 7, 6
10, -0.5, 0.10000000000000003, 0.4, x-, y-, y+, 3, 8, 6
11, -0.4, 0.20000000000000004, 0.5, x+, y+, y+, 4, 8, 7
12, -0.30000000000000004, 0.10000000000000003, 0.6, x+, y-, y+, 5, 8, 7
13, -0.4, 2.7755575615628914e-17, 0.7, x-, y-, y+, 5, 9, 7
14, -0.5, 0.10000000000000003, 0.6, x-, y+, y-, 5, 10, 8
15, -0.6, 0.20000000000000004, 0.5, x-, y+, y-, 5, 11, 9
16, -0.7, 0.30000000000000004, 0.4, x-, y+, y-, 5, 12, 10
17, -0.7999999999999999, 0.4, 0.5, x-, y+, y+, 5, 13, 11
18, -0.7, 0.5, 0.6, x+, y+, y+, 6, 13, 12
19, -0.6, 0.4, 0.7, x+, y-, y+, 7, 13, 12
20, -0.7, 0.30000000000000004, 0.7999999999999999, x-, y-, y+, 7, 14, 12
21, -0.6, 0.20000000000000004, 0.7, x+, y-, y-, 8, 14, 12
22, -0.5, 0.30000000000000004, 0.6, x+, y+, y-, 9, 14, 13
23, -0.6, 0.4, 0.7, x-, y+, y+, 9, 15, 14
24, -0.5, 0.5, 0.6, x+, y+, y-, 10, 15, 15
25, -0.6, 0.6, 0.5, x-, y+, y-, 10, 16, 16
26, -0.5, 0.7, 0.6, x+, y+, y+, 11, 16, 17
27, -0.6, 0.7999999999999999, 0.5, x-, y+, y-, 11, 17, 18
28, -0.7, 0.7, 0.4, x-, y-, y-, 11, 18, 18
29, -0.7999999999999999, 0.6, 0.30000000000000004, x-, y-, y-, 11, 19, 18
30, -0.8999999999999999, 0.5, 0.20000000000000004, x-, y-, y-, 11, 20, 18
31, -0.9999999999999999, 0.6, 0.10000000000000003, x-, y+, y-, 11, 21, 19
32, -0.8999999999999999, 0.7, 0.20000000000000004, x+, y+, y+, 12, 21, 20
33, -0.7999999999999999, 0.6, 0.10000000000000003, x+, y-, y-, 13, 21, 20
34, -0.7, 0.7, 0.10000000000000003, x+, y+, y-, 14, 21, 21
35, -0.7999999999999999, 0.6, 0.20000000000000004, x-, y-, y+, 14, 22, 21
36, -0.8999999999999999, 0.5, 0.30000000000000004, x-, y-, y+, 14, 23, 21
37, -0.7999999999999999, 0.6, 0.4, x+, y+, y+, 15, 23, 22
38, -0.8999999999999999, 0.5, 0.30000000000000004, x-, y-, y-, 15, 24, 22
39, -0.7999999999999999, 0.6, 0.20000000000000004, x+, y+, y-, 16, 24, 23
