0, 0.1, 0.1, 0.6, x+, y+, y+, 1, 0, 1
1, 0.2, 0.0, 0.5, x+, y-, y-, 2, 0, 1
2, 0.30000000000000004, 0.1, 0.6, x+, y+, y+, 3, 0, 2
3, 0.20000000000000004, 0.0, 0.7, x-, y-, y+, 3, 1, 2
4, 0.10000000000000003, -0.1, 0.6, x-, y-, y-, 3, 2, 2
5, 2.7755575615628914e-17, -0.2, 0.5, x-, y-, y-, 3, 3, 2
6, -0.09999999999999998, -0.30000000000000004, 0.6, x-, y-, y+, 3, 4, 2
7, -0.19999999999999998, -0.20000000000000004, 0.7, x-, y+, y+, 3, 5, 3
8, -0.09999999999999998, -0.30000000000000004, 0.6, x+, y-, y-, 4, 5, 3
9, -0.19999999999999998, -0.20000000000000004, 0.7, x-, y+, y+, 4, 6, 4
10, -0.3, -0.10000000000000003, 0.6, x-, y+, y-, 4, 7, 5
11, -0.4, -2.7755575615628914e-17, 0.5, x-, y+, y-, 4, 8, 6
12, -0.30000000000000004, 0.09999999999999998, 0.4, x+, y+, y-, 5, 8, 7
13, -0.4, -2.7755575615628914e-17, 0.5, x-, y-, y+, 5, 9, 7
14, -0.30000000000000004, 0.09999999999999998, 0.6, x+, y+, y+, 6, 9, 8
15, -0.20000000000000004, 0.19999999999999998, 0.5, x+, y+, y-, 7, 9, 9
16, -0.30000000000000004, 0.09999999999999998, 0.4, x-, y-, y-, 7, 10, 9
17, -0.20000000000000004, -2.7755575615628914e-17, 0.5, x+, y-, y+, 8, 10, 9
18, -0.10000000000000003, 0.09999999999999998, 0.4, x+, y+, y-, 9, 10, 10
19, -0.20000000000000004, 0.19999999999999998, 0.30000000000000004, x-, y+, y-, 9, 11, 11
20, -0.10000000000000003, 0.09999999999999998, 0.20000000000000004, x+, y-, y-, 10, 11, 11
21, -0.20000000000000004, -2.7755575615628914e-17, 0.30000000000000004, x-, y-, y+, 10, 12, 11
22, -0.30000000000000004, 0.09999999999999998, 0.4, x-, y+, y+, 10, 13, 12
23, -0.20000000000000004, -2.7755575615628914e-17, 0.5, x+, y-, y+, 11, 13, 12
24, -0.10000000000000003, 0.09999999999999998, 0.4, x+, y+, y-, 12, 13, 13
25, -0.20000000000000004, -2.7755575615628914e-17, 0.5, x-, y-, y+, 12, 14, 13
26, -0.30000000000000004, -0.10000000000000003, 0.4, x-, y-, y-, 12, 15, 13
27, -0.4, -0.20000000000000004, 0.30000000000000004, x-, y-, y-, 12, 16, 13
28, -0.5, -0.10000000000000003, 0.20000000000000004, x-, y+, y-, 12, 17, 14
29, -0.6, -2.7755575615628914e-17, 0.10000000000000003, x-, y+, y-, 12, 18, 15
30, -0.7, 0.09999999999999998, 0.20000000000000004, x-, y+, y+, 12, 19, 16
31, -0.7999999999999999, 0.19999999999999998, 0.10000000000000003, x-, y+, y-, 12, 20, 17
32, -0.7, 0.3, 0.10000000000000003, x+, y+, y-, 13, 20, 18
33, -0.7999999999999999, 0.19999999999999998, 0.10000000000000003, x-, y-, y-, 13, 21, 18
34, -0.7, 0.09999999999999998, 0.10000000000000003, x+, y-, y-, 14, 21, 18
35, -0.6, 0.19999999999999998, 0.10000000000000003, x+, y+, y-, 15, 21, 19
36, -0.5, 0.3, 0.10000000000000003, x+, y+, y-, 16, 21, 20
37, -0.6, 0.4, 0.20000000000000004, x-, y+, y+, 16, 22, 21
38, -0.5, 0.30000000000000004, 0.10000000000000003, x+, y-, y-, 17, 22, 21
39, -0.6, 0.20000000000000004, 0.10000000000000003, x-, y-, y-, 17, 23, 21
