0, -0.1, 0.1, 0.4, x-, y+, y-, 0, 1, 1
1, 0.0, 0.2, 0.30000000000000004, x+, y+, y-, 1, 1, 2
2, 0.1, 0.1, 0.4, x+, y-, y+, 2, 1, 2
3, 0.0, 0.2, 0.5, x-, y+, y+, 2, 2, 3
4, -0.1, 0.1, 0.4, x-, y-, y-, 2, 3, 3
5, -0.2, 0.2, 0.30000000000000004, x-, y+, y-, 2, 4, 4
6, -0.30000000000000004, 0.30000000000000004, 0.20000000000000004, x-, y+, y-, 2, 5, 5
7, -0.4, 0.4, 0.30000000000000004, x-, y+, y+, 2, 6, 6
8, -0.5, 0.5, 0.4, x-, y+, y+, 2, 7, 7
9, -0.4, 0.6, 0.5, x+, y+, y+, 3, 7, 8
10, -0.30000000000000004, 0.7, 0.6, x+, y+, y+, 4, 7, 9
11, -0.20000000000000004, 0.7999999999999999, 0.5, x+, y+, y-, 5, 7, 10
12, -0.10000000000000003, 0.8999999999999999, 0.4, x+, y+, y-, 6, 7, 11
13, -2.7755575615628914e-17, 0.9999999999999999, 0.30000000000000004, x+, y+, y-, 7, 7, 12
14, 0.09999999999999998, 0.8999999999999999, 0.4, x+, y-, y+, 8, 7, 12
15, 0.19999999999999998, 0.9999999999999999, 0.30000000000000004, x+, y+, y-, 9, 7, 13
16, 0.09999999999999998, 0.8999999999999999, 0.20000000000000004, x-, y-, y-, 9, 8, 13
17, -2.7755575615628914e-17, 0.9999999999999999, 0.10000000000000003, x-, y+, y-, 9, 9, 14
18, 0.09999999999999998, 1.0999999999999999, 0.20000000000000004, x+, y+, y+, 10, 9, 15
19, 0.19999999999999998, 0.9999999999999999, 0.10000000000000003, x+, y-, y-, 11, 9, 15
20, 0.3, 0.8999999999999999, 0.10000000000000003, x+, y-, y-, 12, 9, 15
21, 0.4, 0.7999999999999999, 0.10000000000000003, x+, y-, y-, 13, 9, 15
22, 0.5, 0.7, 0.10000000000000003, x+, y-, y-, 14, 9, 15
23, 0.4, 0.7999999999999999, 0.10000000000000003, x-, y+, y-, 14, 10, 16
24, 0.5, 0.7, 0.20000000000000004, x+, y-, y+, 15, 10, 16
25, 0.6, 0.7999999999999999, 0.10000000000000003, x+, y+, y-, 16, 10, 17
26, 0.7, 0.7, 0.10000000000000003, x+, y-, y-, 17, 10, 17
27, 0.7999999999999999, 0.7999999999999999, 0.10000000000000003, x+, y+, y-, 18, 10, 18
28, 0.7, 0.8999999999999999, 0.20000000000000004, x-, y+, y+, 18, 11, 19
29, 0.7999999999999999, 0.9999999999999999, 0.10000000000000003, x+, y+, y-, 19, 11, 20
30, 0.8999999999999999, 0.8999999999999999, 0.10000000000000003, x+, y-, y-, 20, 11, 20
31, 0.9999999999999999, 0.7999999999999999, 0.20000000000000004, x+, y-, y+, 21, 11, 20
32, 0.8999999999999999, 0.8999999999999999, 0.30000000000000004, x-, y+, y+, 21, 12, 21
33, 0.9999999999999999, 0.7999999999999999, 0.20000000000000004, x+, y-, y-, 22, 12, 21
34, 1.0999999999999999, 0.8999999999999999, 0.30000000000000004, x+, y+, y+, 23, 12, 22
35, 0.9999999999999999, 0.7999999999999999, 0.20000000000000004, x-, y-, y-, 23, 13, 22
36, 1.0999999999999999, 0.7, 0.10000000000000003, x+, y-, y-, 24, 13, 22
37, 0.9999999999999999, 0.7999999999999999, 0.20000000000000004, x-, y+, y+, 24, 14, 23
38, 1.0999999999999999, 0.8999999999999999, 0.30000000000000004, x+, y+, y+, 25, 14, 24
39, 1.2, 0.7999999999999999, 0.4, x+, y-, y+, 26, 14, 24
