0, 0.1, -0.1, 0.6, x+, y-, y+, 1, 0, 0
1, 0.0, 0.0, 0.7, x-, y+, y+, 1, 1, 1
2, 0.1, 0.1, 0.6, x+, y+, y-, 2, 1, 2
3, 0.0, 0.2, 0.5, x-, y+, y-, 2, 2, 3
4, 0.1, 0.1, 0.6, x+, y-, y+, 3, 2, 3
5, 0.0, 0.2, 0.7, x-, y+, y+, 3, 3, 4
6, 0.1, 0.1, 0.7999999999999999, x+, y-, y+, 4, 3, 4
7, 0.0, 0.0, 0.8999999999999999, x-, y-, y+, 4, 4, 4
8, 0.1, -0.1, 0.7999999999999999, x+, y-, y-, 5, 4, 4
9, 0.2, -0.2, 0.8999999999999999, x+, y-, y+, 6, 4, 4
10, 0.30000000000000004, -0.1, 0.7999999999999999, x+, y+, y-, 7, 4, 5
11, 0.4, -0.2, 0.7, x+, y-, y-, 8, 4, 5
12, 0.30000000000000004, -0.1, 0.7999999999999999, x-, y+, y+, 8, 5, 6
13, 0.20000000000000004, -0.2, 0.7, x-, y-, y-, 8, 6, 6
14, 0.30000000000000004, -0.1, 0.6, x+, y+, y-, 9, 6, 7
15, 0.4, -0.2, 0.5, x+, y-, y-, 10, 6, 7
16, 0.30000000000000004, -0.30000000000000004, 0.4, x-, y-, y-, 10, 7, 7
17, 0.20000000000000004, -0.4, 0.5, x-, y-, y+, 10, 8, 7
18, 0.30000000000000004, -0.30000000000000004, 0.4, x+, y+, y-, 11, 8, 8
19, 0.4, -0.4, 0.5, x+, y-, y+, 12, 8, 8
20, 0.5, -0.5, 0.4, x+, y-, y-, 13, 8, 8
21, 0.6, -0.6, 0.30000000000000004, x+, y-, y-, 14, 8, 8
22, 0.7, -0.5, 0.20000000000000004, x+, y+, y-, 15, 8, 9
23, 0.6, -0.6, 0.10000000000000003, x-, y-, y-, 15, 9, 9
24, 0.7, -0.7, 0.10000000000000003, x+, y-, y-, 16, 9, 9
25, 0.6, -0.6, 0.10000000000000003, x-, y+, y-, 16, 10, 10
26, 0.7, -0.7, 0.20000000000000004, x+, y-, y+, 17, 10, 10
27, 0.6, -0.7999999999999999, 0.30000000000000004, x-, y-, y+, 17, 11, 10
28, 0.5, -0.7, 0.20000000000000004, x-, y+, y-, 17, 12, 11
29, 0.4, -0.6, 0.30000000000000004, x-, y+, y+, 17, 13, 12
30, 0.30000000000000004, -0.5, 0.4, x-, y+, y+, 17, 14, 13
31, 0.4, -0.6, 0.5, x+, y-, y+, 18, 14, 13
32, 0.30000000000000004, -0.5, 0.4, x-, y+, y-, 18, 15, 14
33, 0.4, -0.4, 0.30000000000000004, x+, y+, y-, 19, 15, 15
34, 0.30000000000000004, -0.5, 0.4, x-, y-, y+, 19, 16, 15
35, 0.4, -0.4, 0.5, x+, y+, y+, 20, 16, 16
36, 0.30000000000000004, -0.30000000000000004, 0.6, x-, y+, y+, 20, 17, 17
37, 0.20000000000000004, -0.4, 0.7, x-, y-, y+, 20, 18, 17
38, 0.10000000000000003, -0.30000000000000004, 0.6, x-, y+, y-, 20, 19, 18
39, 0.20000000000000004, -0.20000000000000004, 0.7, x+, y+, y+, 21, 19, 19
