0, 0.1, 0.1, 0.6, x+, y+, y+, 1, 0, 1
1, 0.0, 0.2, 0.7, x-, y+, y+, 1, 1, 2
2, -0.1, 0.30000000000000004, 0.7999999999999999, x-, y+, y+, 1, 2, 3
3, -0.2, 0.20000000000000004, 0.7, x-, y-, y-, 1, 3, 3
4, -0.1, 0.10000000000000003, 0.6, x+, y-, y-, 2, 3, 3
5, -0.2, 2.7755575615628914e-17, 0.7, x-, y-, y+, 2, 4, 3
6, -0.1, -0.09999999999999998, 0.6, x+, y-, y-, 3, 4, 3
7, 0.0, 2.7755575615628914e-17, 0.5, x+, y+, y-, 4, 4, 4
8, 0.1, 0.10000000000000003, 0.4, x+, y+, y-, 5, 4, 5
9, 0.2, 2.7755575615628914e-17, 0.5, x+, y-, y+, 6, 4, 5
10, 0.1, -0.09999999999999998, 0.6, x-, y-, y+, 6, 5, 5
11, 0.0, 2.7755575615628914e-17, 0.5, x-, y+, y-, 6, 6, 6
12, -0.1, 0.10000000000000003, 0.6, x-, y+, y+, 6, 7, 7
13, -0.2, 2.7755575615628914e-17, 0.5, x-, y-, y-, 6, 8, 7
14, -0.30000000000000004, 0.10000000000000003, 0.4, x-, y+, y-, 6, 9, 8
15, -0.4, 2.7755575615628914e-17, 0.30000000000000004, x-, y-, y-, 6, 10, 8
16, -0.30000000000000004, -0.09999999999999998, 0.20000000000000004, x+, y-, y-, 7, 10, 8
17, -0.4, -0.19999999999999998, 0.30000000000000004, x-, y-, y+, 7, 11, 8
18, -0.5, -0.09999999999999998, 0.20000000000000004, x-, y+, y-, 7, 12, 9
19, -0.6, -0.19999999999999998, 0.10000000000000003, x-, y-, y-, 7, 13, 9
20, -0.5, -0.09999999999999998, 0.20000000000000004, x+, y+, y+, 8, 13, 10
21, -0.6, 2.7755575615628914e-17, 0.10000000000000003, x-, y+, y-, 8, 14, 11
22, -0.5, -0.09999999999999998, 0.10000000000000003, x+, y-, y-, 9, 14, 11
23, -0.4, 2.7755575615628914e-17, 0.10000000000000003, x+, y+, y-, 10, 14, 12
24, -0.30000000000000004, 0.10000000000000003, 0.20000000000000004, x+, y+, y+, 11, 14, 13
25, -0.20000000000000004, 0.20000000000000004, 0.30000000000000004, x+, y+, y+, 12, 14, 14
26, -0.10000000000000003, 0.30000000000000004, 0.4, x+, y+, y+, 13, 14, 15
27, -0.20000000000000004, 0.4, 0.30000000000000004, x-, y+, y-, 13, 15, 16
28, -0.30000000000000004, 0.30000000000000004, 0.4, x-, y-, y+, 13, 16, 16
29, -0.4, 0.4, 0.5, x-, y+, y+, 13, 17, 17
30, -0.5, 0.30000000000000004, 0.4, x-, y-, y-, 13, 18, 17
31, -0.4, 0.20000000000000004, 0.30000000000000004, x+, y-, y-, 14, 18, 17
32, -0.30000000000000004, 0.30000000000000004, 0.20000000000000004, x+, y+, y-, 15, 18, 18
33, -0.4, 0.20000000000000004, 0.10000000000000003, x-, y-, y-, 15, 19, 18
34, -0.5, 0.30000000000000004, 0.20000000000000004, x-, y+, y+, 15, 20, 19
35, -0.4, 0.4, 0.10000000000000003, x+, y+, y-, 16, 20, 20
36, -0.5, 0.5, 0.20000000000000004, x-, y+, y+, 16, 21, 21
37, -0.4, 0.6, 0.30000000000000004, x+, y+, y+, 17, 21, 22
38, -0.30000000000000004, 0.7, 0.4, x+, y+, y+, 18, 21, 23
39, -0.4, 0.6, 0.5, x-, y-, y+, 18, 22, 23
