0, 0.1, 0.1, 0.6, x+, y+, y+, 1, 0, 1
1, 0.2, 0.2, 0.5, x+, y+, y-, 2, 0, 2
2, 0.30000000000000004, 0.30000000000000004, 0.6, x+, y+, y+, 3, 0, 3
3, 0.4, 0.20000000000000004, 0.5, x+, y-, y-, 4, 0, 3
4, 0.30000000000000004, 0.10000000000000003, 0.6, x-, y-, y+, 4, 1, 3
5, 0.20000000000000004, 2.7755575615628914e-17, 0.7, x-, y-, y+, 4, 2, 3
6, 0.30000000000000004, -0.09999999999999998, 0.6, x+, y-, y-, 5, 2, 3
7, 0.4, -0.19999999999999998, 0.5, x+, y-, y-, 6, 2, 3
8, 0.5, -0.09999999999999998, 0.4, x+, y+, y-, 7, 2, 4
9, 0.4, -0.19999999999999998, 0.30000000000000004, x-, y-, y-, 7, 3, 4
10, 0.30000000000000004, -0.09999999999999998, 0.4, x-, y+, y+, 7, 4, 5
11, 0.4, -0.19999999999999998, 0.5, x+, y-, y+, 8, 4, 5
12, 0.5, -0.09999999999999998, 0.4, x+, y+, y-, 9, 4, 6
13, 0.6, 2.7755575615628914e-17, 0.30000000000000004, x+, y+, y-, 10, 4, 7
14, 0.5, 0.10000000000000003, 0.20000000000000004, x-, y+, y-, 10, 5, 8
15, 0.4, 2.7755575615628914e-17, 0.30000000000000004, x-, y-, y+, 10, 6, 8
16, 0.5, -0.09999999999999998, 0.20000000000000004, x+, y-, y-, 11, 6, 8
17, 0.4, 2.7755575615628914e-17, 0.10000000000000003, x-, y+, y-, 11, 7, 9
18, 0.30000000000000004, 0.10000000000000003, 0.10000000000000003, x-, y+, y-, 11, 8, 10
19, 0.4, 0.20000000000000004, 0.10000000000000003, x+, y+, y-, 12, 8, 11
20, 0.5, 0.30000000000000004, 0.20000000000000004, x+, y+, y+, 13, 8, 12
21, 0.4, 0.4, 0.10000000000000003, x-, y+, y-, 13, 9, 13
22, 0.5, 0.30000000000000004, 0.10000000000000003, x+, y-, y-, 14, 9, 13
23, 0.4, 0.4, 0.10000000000000003, x-, y+, y-, 14, 10, 14
24, 0.30000000000000004, 0.5, 0.20000000000000004, x-, y+, y+, 14, 11, 15
25, 0.4, 0.4, 0.10000000000000003, x+, y-, y-, 15, 11, 15
26, 0.5, 0.5, 0.10000000000000003, x+, y+, y-, 16, 11, 16
27, 0.6, 0.6, 0.20000000000000004, x+, y+, y+, 17, 11, 17
28, 0.5, 0.7, 0.30000000000000004, x-, y+, y+, 17, 12, 18
29, 0.4, 0.6, 0.20000000000000004, x-, y-, y-, 17, 13, 18
30, 0.30000000000000004, 0.7, 0.10000000000000003, x-, y+, y-, 17, 14, 19
31, 0.20000000000000004, 0.7999999999999999, 0.20000000000000004, x-, y+, y+, 17, 15, 20
32, 0.10000000000000003, 0.7, 0.10000000000000003, x-, y-, y-, 17, 16, 20
33, 0.20000000000000004, 0.7999999999999999, 0.20000000000000004, x+, y+, y+, 18, 16, 21
34, 0.30000000000000004, 0.8999999999999999, 0.30000000000000004, x+, y+, y+, 19, 16, 22
35, 0.20000000000000004, 0.7999999999999999, 0.20000000000000004, x-, y-, y-, 19, 17, 22
36, 0.30000000000000004, 0.7, 0.30000000000000004, x+, y-, y+, 20, 17, 22
37, 0.4, 0.6, 0.20000000000000004, x+, y-, y-, 21, 17, 22
38, 0.30000000000000004, 0.5, 0.30000000000000004, x-, y-, y+, 21, 18, 22
39, 0.4, 0.6, 0.4, x+, y+, y+, 22, 18, 23
