0, -0.1, -0.1, 0.4, x-, y-, y-, 0, 1, 0
1, 0.0, 0.0, 0.30000000000000004, x+, y+, y-, 1, 1, 1
2, 0.1, 0.1, 0.4, x+, y+, y+, 2, 1, 2
3, 0.2, 0.0, 0.5, x+, y-, y+, 3, 1, 2
4, 0.30000000000000004, 0.1, 0.6, x+, y+, y+, 4, 1, 3
5, 0.20000000000000004, 0.2, 0.5, x-, y+, y-, 4, 2, 4
6, 0.10000000000000003, 0.1, 0.6, x-, y-, y+, 4, 3, 4
7, 2.7755575615628914e-17, 0.0, 0.7, x-, y-, y+, 4, 4, 4
8, -0.09999999999999998, 0.1, 0.7999999999999999, x-, y+, y+, 4, 5, 5
9, -0.19999999999999998, 0.2, 0.7, x-, y+, y-, 4, 6, 6
10, -0.09999999999999998, 0.1, 0.7999999999999999, x+, y-, y+, 5, 6, 6
11, -0.19999999999999998, 0.2, 0.8999999999999999, x-, y+, y+, 5, 7, 7
12, -0.09999999999999998, 0.1, 0.7999999999999999, x+, y-, y-, 6, 7, 7
13, 2.7755575615628914e-17, 0.0, 0.7, x+, y-, y-, 7, 7, 7
14, -0.09999999999999998, 0.1, 0.6, x-, y+, y-, 7, 8, 8
15, 2.7755575615628914e-17, 0.2, 0.7, x+, y+, y+, 8, 8, 9
16, -0.09999999999999998, 0.1, 0.6, x-, y-, y-, 8, 9, 9
17, 2.7755575615628914e-17, 0.0, 0.5, x+, y-, y-, 9, 9, 9
18, -0.09999999999999998, -0.1, 0.6, x-, y-, y+, 9, 10, 9
19, 2.7755575615628914e-17, 0.0, 0.5, x+, y+, y-, 10, 10, 10
20, -0.09999999999999998, -0.1, 0.6, x-, y-, y+, 10, 11, 10
21, -0.19999999999999998, 0.0, 0.7, x-, y+, y+, 10, 12, 11
22, -0.09999999999999998, -0.1, 0.6, x+, y-, y-, 11, 12, 11
23, 2.7755575615628914e-17, -0.2, 0.5, x+, y-, y-, 12, 12, 11
24, -0.09999999999999998, -0.1, 0.4, x-, y+, y-, 12, 13, 12
25, -0.19999999999999998, -0.2, 0.30000000000000004, x-, y-, y-, 12, 14, 12
26, -0.3, -0.1, 0.20000000000000004, x-, y+, y-, 12, 15, 13
27, -0.19999999999999998, -0.2, 0.10000000000000003, x+, y-, y-, 13, 15, 13
28, -0.09999999999999998, -0.30000000000000004, 0.20000000000000004, x+, y-, y+, 14, 15, 13
29, 2.7755575615628914e-17, -0.4, 0.10000000000000003, x+, y-, y-, 15, 15, 13
30, 0.10000000000000003, -0.30000000000000004, 0.10000000000000003, x+, y+, y-, 16, 15, 14
31, 0.20000000000000004, -0.20000000000000004, 0.10000000000000003, x+, y+, y-, 17, 15, 15
32, 0.30000000000000004, -0.10000000000000003, 0.10000000000000003, x+, y+, y-, 18, 15, 16
33, 0.4, -0.20000000000000004, 0.10000000000000003, x+, y-, y-, 19, 15, 16
34, 0.30000000000000004, -0.10000000000000003, 0.20000000000000004, x-, y+, y+, 19, 16, 17
35, 0.20000000000000004, -2.7755575615628914e-17, 0.10000000000000003, x-, y+, y-, 19, 17, 18
36, 0.10000000000000003, 0.09999999999999998, 0.20000000000000004, x-, y+, y+, 19, 18, 19
37, 2.7755575615628914e-17, -2.7755575615628914e-17, 0.30000000000000004, x-, y-, y+, 19, 19, 19
38, 0.10000000000000003, -0.10000000000000003, 0.20000000000000004, x+, y-, y-, 20, 19, 19
39, 2.7755575615628914e-17, -2.7755575615628914e-17, 0.30000000000000004, x-, y+, y+, 20, 20, 20
