0, -0.1, 0.1, 0.4, x-, y+, y-, 0, 1, 1
1, -0.2, 0.0, 0.30000000000000004, x-, y-, y-, 0, 2, 1
2, -0.30000000000000004, -0.1, 0.20000000000000004, x-, y-, y-, 0, 3, 1
3, -0.4, -0.2, 0.10000000000000003, x-, y-, y-, 0, 4, 1
4, -0.30000000000000004, -0.30000000000000004, 0.20000000000000004, x+, y-, y+, 1, 4, 1
5, -0.4, -0.20000000000000004, 0.30000000000000004, x-, y+, y+, 1, 5, 2
6, -0.5, -0.30000000000000004, 0.4, x-, y-, y+, 1, 6, 2
7, -0.4, -0.20000000000000004, 0.30000000000000004, x+, y+, y-, 2, 6, 3
8, -0.30000000000000004, -0.30000000000000004, 0.4, x+, y-, y+, 3, 6, 3
9, -0.4, -0.20000000000000004, 0.30000000000000004, x-, y+, y-, 3, 7, 4
10, -0.5, -0.10000000000000003, 0.20000000000000004, x-, y+, y-, 3, 8, 5
11, -0.4, -2.7755575615628914e-17, 0.30000000000000004, x+, y+, y+, 4, 8, 6
12, -0.30000000000000004, -0.10000000000000003, 0.4, x+, y-, y+, 5, 8, 6
13, -0.4, -2.7755575615628914e-17, 0.5, x-, y+, y+, 5, 9, 7
14, -0.5, -0.10000000000000003, 0.4, x-, y-, y-, 5, 10, 7
15, -0.6, -2.7755575615628914e-17, 0.5, x-, y+, y+, 5, 11, 8
16, -0.7, 0.09999999999999998, 0.4, x-, y+, y-, 5, 12, 9
17, -0.6, -2.7755575615628914e-17, 0.30000000000000004, x+, y-, y-, 6, 12, 9
18, -0.7, -0.10000000000000003, 0.4, x-, y-, y+, 6, 13, 9
19, -0.7999999999999999, -2.7755575615628914e-17, 0.5, x-, y+, y+, 6, 14, 10
20, -0.8999999999999999, 0.09999999999999998, 0.4, x-, y+, y-, 6, 15, 11
21, -0.9999999999999999, -2.7755575615628914e-17, 0.5, x-, y-, y+, 6, 16, 11
22, -0.8999999999999999, 0.09999999999999998, 0.4, x+, y+, y-, 7, 16, 12
23, -0.7999999999999999, -2.7755575615628914e-17, 0.5, x+, y-, y+, 8, 16, 12
24, -0.7, 0.09999999999999998, 0.6, x+, y+, y+, 9, 16, 13
25, -0.7999999999999999, -2.7755575615628914e-17, 0.7, x-, y-, y+, 9, 17, 13
26, -0.8999999999999999, -0.10000000000000003, 0.7999999999999999, x-, y-, y+, 9, 18, 13
27, -0.7999999999999999, -0.20000000000000004, 0.8999999999999999, x+, y-, y+, 10, 18, 13
28, -0.7, -0.10000000000000003, 0.7999999999999999, x+, y+, y-, 11, 18, 14
29, -0.7999999999999999, -0.20000000000000004, 0.8999999999999999, x-, y-, y+, 11, 19, 14
30, -0.7, -0.10000000000000003, 0.9999999999999999, x+, y+, y+, 12, 19, 15
31, -0.7999999999999999, -0.20000000000000004, 1.0999999999999999, x-, y-, y+, 12, 20, 15
32, -0.8999999999999999, -0.10000000000000003, 0.9999999999999999, x-, y+, y-, 12, 21, 16
33, -0.7999999999999999, -0.20000000000000004, 1.0999999999999999, x+, y-, y+, 13, 21, 16
34, -0.8999999999999999, -0.10000000000000003, 1.2, x-, y+, y+, 13, 22, 17
35, -0.7999999999999999, -2.7755575615628914e-17, 1.0999999999999999, x+, y+, y-, 14, 22, 18
36, -0.8999999999999999, 0.09999999999999998, 1.2, x-, y+, y+, 14, 23, 19
37, -0.9999999999999999, 0.19999999999999998, 1.0999999999999999, x-, y+, y-, 14, 24, 20
38, -1.0999999999999999, 0.3, 0.9999999999999999, x-, y+, y-, 14, 25, 21
39, -1.2, 0.19999999999999998, 0.8999999999999999, x-, y-, y-, 14, 26, 21
