0, -0.1, -0.1, 0.6, x-, y-, y+, 0, 1, 0
1, -0.2, 0.0, 0.7, x-, y+, y+, 0, 2, 1
2, -0.1, -0.1, 0.7999999999999999, x+, y-, y+, 1, 2, 1
3, 0.0, -0.2, 0.7, x+, y-, y-, 2, 2, 1
4, -0.1, -0.1, 0.6, x-, y+, y-, 2, 3, 2
5, 0.0, -0.2, 0.7, x+, y-, y+, 3, 3, 2
6, -0.1, -0.1, 0.6, x-, y+, y-, 3, 4, 3
7, 0.0, -0.2, 0.7, x+, y-, y+, 4, 4, 3
8, -0.1, -0.1, 0.7999999999999999, x-, y+, y+, 4, 5, 4
9, -0.2, 0.0, 0.7, x-, y+, y-, 4, 6, 5
10, -0.1, -0.1, 0.7999999999999999, x+, y-, y+, 5, 6, 5
11, -0.2, -0.2, 0.7, x-, y-, y-, 5, 7, 5
12, -0.30000000000000004, -0.30000000000000004, 0.6, x-, y-, y-, 5, 8, 5
13, -0.20000000000000004, -0.20000000000000004, 0.5, x+, y+, y-, 6, 8, 6
14, -0.10000000000000003, -0.10000000000000003, 0.6, x+, y+, y+, 7, 8, 7
15, -2.7755575615628914e-17, -0.20000000000000004, 0.5, x+, y-, y-, 8, 8, 7
16, 0.09999999999999998, -0.30000000000000004, 0.4, x+, y-, y-, 9, 8, 7
17, 0.19999999999999998, -0.20000000000000004, 0.30000000000000004, x+, y+, y-, 10, 8, 8
18, 0.09999999999999998, -0.10000000000000003, 0.4, x-, y+, y+, 10, 9, 9
19, 0.19999999999999998, -2.7755575615628914e-17, 0.30000000000000004, x+, y+, y-, 11, 9, 10
20, 0.3, 0.09999999999999998, 0.4, x+, y+, y+, 12, 9, 11
21, 0.4, -2.7755575615628914e-17, 0.30000000000000004, x+, y-, y-, 13, 9, 11
22, 0.30000000000000004, 0.09999999999999998, 0.20000000000000004, x-, y+, y-, 13, 10, 12
23, 0.20000000000000004, -2.7755575615628914e-17, 0.30000000000000004, x-, y-, y+, 13, 11, 12
24, 0.30000000000000004, 0.09999999999999998, 0.4, x+, y+, y+, 14, 11, 13
25, 0.20000000000000004, -2.7755575615628914e-17, 0.5, x-, y-, y+, 14, 12, 13
26, 0.10000000000000003, -0.10000000000000003, 0.4, x-, y-, y-, 14, 13, 13
27, 2.7755575615628914e-17, -2.7755575615628914e-17, 0.5, x-, y+, y+, 14, 14, 14
28, -0.09999999999999998, -0.10000000000000003, 0.4, x-, y-, y-, 14, 15, 14
29, 2.7755575615628914e-17, -0.20000000000000004, 0.30000000000000004, x+, y-, y-, 15, 15, 14
30, 0.10000000000000003, -0.30000000000000004, 0.4, x+, y-, y+, 16, 15, 14
31, 0.20000000000000004, -0.4, 0.30000000000000004, x+, y-, y-, 17, 15, 14
32, 0.30000000000000004, -0.5, 0.20000000000000004, x+, y-, y-, 18, 15, 14
33, 0.4, -0.6, 0.30000000000000004, x+, y-, y+, 19, 15, 14
34, 0.30000000000000004, -0.5, 0.20000000000000004, x-, y+, y-, 19, 16, 15
35, 0.20000000000000004, -0.6, 0.30000000000000004, x-, y-, y+, 19, 17, 15
36, 0.30000000000000004, -0.5, 0.4, x+, y+, y+, 20, 17, 16
37, 0.4, -0.6, 0.5, x+, y-, y+, 21, 17, 16
38, 0.5, -0.5, 0.4, x+, y+, y-, 22, 17, 17
39, 0.4, -0.4, 0.5, x-, y+, y+, 22, 18, 18
