0, 0.1, 0.1, 0.4, x+, y+, y-, 1, 0, 1
1, 0.0, 0.0, 0.5, x-, y-, y+, 1, 1, 1
2, -0.1, 0.1, 0.4, x-, y+, y-, 1, 2, 2
3, 0.0, 0.2, 0.5, x+, y+, y+, 2, 2, 3
4, -0.1, 0.30000000000000004, 0.4, x-, y+, y-, 2, 3, 4
5, -0.2, 0.4, 0.5, x-, y+, y+, 2, 4, 5
6, -0.1, 0.30000000000000004, 0.6, x+, y-, y+, 3, 4, 5
7, 0.0, 0.20000000000000004, 0.5, x+, y-, y-, 4, 4, 5
8, -0.1, 0.30000000000000004, 0.4, x-, y+, y-, 4, 5, 6
9, 0.0, 0.4, 0.5, x+, y+, y+, 5, 5, 7
10, -0.1, 0.5, 0.4, x-, y+, y-, 5, 6, 8
11, -0.2, 0.4, 0.5, x-, y-, y+, 5, 7, 8
12, -0.1, 0.5, 0.4, x+, y+, y-, 6, 7, 9
13, 0.0, 0.4, 0.30000000000000004, x+, y-, y-, 7, 7, 9
14, -0.1, 0.30000000000000004, 0.4, x-, y-, y+, 7, 8, 9
15, -0.2, 0.4, 0.30000000000000004, x-, y+, y-, 7, 9, 10
16, -0.30000000000000004, 0.30000000000000004, 0.20000000000000004, x-, y-, y-, 7, 10, 10
17, -0.20000000000000004, 0.20000000000000004, 0.30000000000000004, x+, y-, y+, 8, 10, 10
18, -0.10000000000000003, 0.10000000000000003, 0.4, x+, y-, y+, 9, 10, 10
19, -2.7755575615628914e-17, 0.20000000000000004, 0.5, x+, y+, y+, 10, 10, 11
20, -0.10000000000000003, 0.30000000000000004, 0.6, x-, y+, y+, 10, 11, 12
21, -0.20000000000000004, 0.20000000000000004, 0.7, x-, y-, y+, 10, 12, 12
22, -0.10000000000000003, 0.10000000000000003, 0.7999999999999999, x+, y-, y+, 11, 12, 12
23, -0.20000000000000004, 2.7755575615628914e-17, 0.7, x-, y-, y-, 11, 13, 12
24, -0.30000000000000004, 0.10000000000000003, 0.7999999999999999, x-, y+, y+, 11, 14, 13
25, -0.4, 0.20000000000000004, 0.8999999999999999, x-, y+, y+, 11, 15, 14
26, -0.5, 0.30000000000000004, 0.9999999999999999, x-, y+, y+, 11, 16, 15
27, -0.4, 0.20000000000000004, 0.8999999999999999, x+, y-, y-, 12, 16, 15
28, -0.5, 0.10000000000000003, 0.7999999999999999, x-, y-, y-, 12, 17, 15
29, -0.6, 0.20000000000000004, 0.7, x-, y+, y-, 12, 18, 16
30, -0.7, 0.30000000000000004, 0.6, x-, y+, y-, 12, 19, 17
31, -0.6, 0.20000000000000004, 0.7, x+, y-, y+, 13, 19, 17
32, -0.7, 0.10000000000000003, 0.7999999999999999, x-, y-, y+, 13, 20, 17
33, -0.7999999999999999, 2.7755575615628914e-17, 0.8999999999999999, x-, y-, y+, 13, 21, 17
34, -0.8999999999999999, -0.09999999999999998, 0.7999999999999999, x-, y-, y-, 13, 22, 17
35, -0.9999999999999999, -0.19999999999999998, 0.7, x-, y-, y-, 13, 23, 17
36, -0.8999999999999999, -0.3, 0.7999999999999999, x+, y-, y+, 14, 23, 17
37, -0.7999999999999999, -0.4, 0.8999999999999999, x+, y-, y+, 15, 23, 17
38, -0.8999999999999999, -0.5, 0.9999999999999999, x-, y-, y+, 15, 24, 17
39, -0.9999999999999999, -0.4, 1.0999999999999999, x-, y+, y+, 15, 25, 18
