0, 0.1, 0.1, 0.4, x+, y+, y-, 1, 0, 1
1, 0.0, 0.2, 0.5, x-, y+, y+, 1, 1, 2
2, -0.1, 0.1, 0.4, x-, y-, y-, 1, 2, 2
3, -0.2, 0.0, 0.30000000000000004, x-, y-, y-, 1, 3, 2
4, -0.30000000000000004, 0.1, 0.4, x-, y+, y+, 1, 4, 3
5, -0.20000000000000004, 0.2, 0.30000000000000004, x+, y+, y-, 2, 4, 4
6, -0.30000000000000004, 0.1, 0.20000000000000004, x-, y-, y-, 2, 5, 4
7, -0.4, 0.0, 0.10000000000000003, x-, y-, y-, 2, 6, 4
8, -0.5, -0.1, 0.10000000000000003, x-, y-, y-, 2, 7, 4
9, -0.6, 0.0, 0.20000000000000004, x-, y+, y+, 2, 8, 5
10, -0.5, 0.1, 0.30000000000000004, x+, y+, y+, 3, 8, 6
11, -0.4, 0.0, 0.20000000000000004, x+, y-, y-, 4, 8, 6
12, -0.30000000000000004, -0.1, 0.10000000000000003, x+, y-, y-, 5, 8, 6
13, -0.4, 0.0, 0.10000000000000003, x-, y+, y-, 5, 9, 7
14, -0.5, 0.1, 0.20000000000000004, x-, y+, y+, 5, 10, 8
15, -0.4, 0.2, 0.10000000000000003, x+, y+, y-, 6, 10, 9
16, -0.5, 0.30000000000000004, 0.10000000000000003, x-, y+, y-, 6, 11, 10
17, -0.4, 0.20000000000000004, 0.10000000000000003, x+, y-, y-, 7, 11, 10
18, -0.5, 0.10000000000000003, 0.20000000000000004, x-, y-, y+, 7, 12, 10
19, -0.4, 2.7755575615628914e-17, 0.30000000000000004, x+, y-, y+, 8, 12, 10
20, -0.5, -0.09999999999999998, 0.20000000000000004, x-, y-, y-, 8, 13, 10
21, -0.6, -0.19999999999999998, 0.30000000000000004, x-, y-, y+, 8, 14, 10
22, -0.5, -0.3, 0.20000000000000004, x+, y-, y-, 9, 14, 10
23, -0.6, -0.19999999999999998, 0.10000000000000003, x-, y+, y-, 9, 15, 11
24, -0.5, -0.09999999999999998, 0.10000000000000003, x+, y+, y-, 10, 15, 12
25, -0.6, -0.19999999999999998, 0.20000000000000004, x-, y-, y+, 10, 16, 12
26, -0.7, -0.09999999999999998, 0.10000000000000003, x-, y+, y-, 10, 17, 13
27, -0.7999999999999999, -0.19999999999999998, 0.10000000000000003, x-, y-, y-, 10, 18, 13
28, -0.7, -0.3, 0.10000000000000003, x+, y-, y-, 11, 18, 13
29, -0.7999999999999999, -0.4, 0.20000000000000004, x-, y-, y+, 11, 19, 13
30, -0.7, -0.5, 0.30000000000000004, x+, y-, y+, 12, 19, 13
31, -0.7999999999999999, -0.4, 0.4, x-, y+, y+, 12, 20, 14
32, -0.8999999999999999, -0.30000000000000004, 0.30000000000000004, x-, y+, y-, 12, 21, 15
33, -0.9999999999999999, -0.4, 0.4, x-, y-, y+, 12, 22, 15
34, -1.0999999999999999, -0.30000000000000004, 0.30000000000000004, x-, y+, y-, 12, 23, 16
35, -1.2, -0.20000000000000004, 0.4, x-, y+, y+, 12, 24, 17
36, -1.3, -0.30000000000000004, 0.5, x-, y-, y+, 12, 25, 17
37, -1.2, -0.4, 0.4, x+, y-, y-, 13, 25, 17
38, -1.0999999999999999, -0.5, 0.30000000000000004, x+, y-, y-, 14, 25, 17
39, -0.9999999999999999, -0.4, 0.20000000000000004, x+, y+, y-, 15, 25, 18
