0, 0.1, R, 1
1, 0.0, L, 1
2, -0.1, L, 1
3, -0.2, L, 1
4, -0.30000000000000004, L, 1
5, -0.20000000000000004, R, 2
6, -0.10000000000000003, R, 3
7, -0.20000000000000004, L, 3
8, -0.30000000000000004, L, 3
9, -0.20000000000000004, R, 4
10, -0.10000000000000003, R, 5
11, -2.7755575615628914e-17, R, 6
12, -0.10000000000000003, L, 6
13, -2.7755575615628914e-17, R, 7
14, -0.10000000000000003, L, 7
15, -2.7755575615628914e-17, R, 8
16, -0.10000000000000003, L, 8
17, -0.20000000000000004, L, 8
18, -0.10000000000000003, R, 9
19, -2.7755575615628914e-17, R, 10
20, -0.10000000000000003, L, 10
21, -2.7755575615628914e-17, R, 11
22, -0.10000000000000003, L, 11
23, -0.20000000000000004, L, 11
24, -0.10000000000000003, R, 12
25, -2.7755575615628914e-17, R, 13
26, 0.09999999999999998, R, 14
27, 0.19999999999999998, R, 15
28, 0.3, R, 16
29, 0.4, R, 17
30, 0.5, R, 18
31, 0.4, L, 18
32, 0.5, R, 19
33, 0.6, R, 20
34, 0.7, R, 21
35, 0.6, L, 21
36, 0.7, R, 22
37, 0.6, L, 22
38, 0.5, L, 22
39, 0.4, L, 22
