0, -0.1, 0.1, 0.6, x-, y+, y+, 0, 1, 1
1, -0.2, 0.2, 0.7, x-, y+, y+, 0, 2, 2
2, -0.30000000000000004, 0.30000000000000004, 0.6, x-, y+, y-, 0, 3, 3
3, -0.4, 0.4, 0.5, x-, y+, y-, 0, 4, 4
4, -0.5, 0.30000000000000004, 0.6, x-, y-, y+, 0, 5, 4
5, -0.4, 0.20000000000000004, 0.7, x+, y-, y+, 1, 5, 4
6, -0.30000000000000004, 0.30000000000000004, 0.6, x+, y+, y-, 2, 5, 5
7, -0.4, 0.20000000000000004, 0.5, x-, y-, y-, 2, 6, 5
8, -0.30000000000000004, 0.30000000000000004, 0.6, x+, y+, y+, 3, 6, 6
9, -0.4, 0.4, 0.5, x-, y+, y-, 3, 7, 7
10, -0.30000000000000004, 0.30000000000000004, 0.4, x+, y-, y-, 4, 7, 7
11, -0.4, 0.4, 0.30000000000000004, x-, y+, y-, 4, 8, 8
12, -0.30000000000000004, 0.5, 0.20000000000000004, x+, y+, y-, 5, 8, 9
13, -0.20000000000000004, 0.4, 0.10000000000000003, x+, y-, y-, 6, 8, 9
14, -0.10000000000000003, 0.30000000000000004, 0.10000000000000003, x+, y-, y-, 7, 8, 9
15, -2.7755575615628914e-17, 0.4, 0.10000000000000003, x+, y+, y-, 8, 8, 10
16, -0.10000000000000003, 0.5, 0.20000000000000004, x-, y+, y+, 8, 9, 11
17, -2.7755575615628914e-17, 0.6, 0.10000000000000003, x+, y+, y-, 9, 9, 12
18, 0.09999999999999998, 0.7, 0.20000000000000004, x+, y+, y+, 10, 9, 13
19, -2.7755575615628914e-17, 0.6, 0.30000000000000004, x-, y-, y+, 10, 10, 13
20, 0.09999999999999998, 0.7, 0.4, x+, y+, y+, 11, 10, 14
21, -2.7755575615628914e-17, 0.6, 0.5, x-, y-, y+, 11, 11, 14
22, 0.09999999999999998, 0.7, 0.6, x+, y+, y+, 12, 11, 15
23, 0.19999999999999998, 0.6, 0.5, x+, y-, y-, 13, 11, 15
24, 0.09999999999999998, 0.5, 0.4, x-, y-, y-, 13, 12, 15
25, 0.19999999999999998, 0.6, 0.30000000000000004, x+, y+, y-, 14, 12, 16
26, 0.09999999999999998, 0.7, 0.20000000000000004, x-, y+, y-, 14, 13, 17
27, -2.7755575615628914e-17, 0.6, 0.30000000000000004, x-, y-, y+, 14, 14, 17
28, -0.10000000000000003, 0.7, 0.20000000000000004, x-, y+, y-, 14, 15, 18
29, -2.7755575615628914e-17, 0.6, 0.10000000000000003, x+, y-, y-, 15, 15, 18
30, -0.10000000000000003, 0.7, 0.20000000000000004, x-, y+, y+, 15, 16, 19
31, -0.20000000000000004, 0.6, 0.30000000000000004, x-, y-, y+, 15, 17, 19
32, -0.10000000000000003, 0.7, 0.20000000000000004, x+, y+, y-, 16, 17, 20
33, -0.20000000000000004, 0.7999999999999999, 0.30000000000000004, x-, y+, y+, 16, 18, 21
34, -0.30000000000000004, 0.8999999999999999, 0.4, x-, y+, y+, 16, 19, 22
35, -0.20000000000000004, 0.9999999999999999, 0.5, x+, y+, y+, 17, 19, 23
36, -0.30000000000000004, 0.8999999999999999, 0.6, x-, y-, y+, 17, 20, 23
37, -0.20000000000000004, 0.7999999999999999, 0.7, x+, y-, y+, 18, 20, 23
38, -0.10000000000000003, 0.7, 0.7999999999999999, x+, y-, y+, 19, 20, 23
39, -2.7755575615628914e-17, 0.6, 0.8999999999999999, x+, y-, y+, 20, 20, 23
