0, -0.1, -0.1, 0.4, x-, y-, y-, 0, 1, 0
1, 0.0, -0.2, 0.30000000000000004, x+, y-, y-, 1, 1, 0
2, 0.1, -0.1, 0.4, x+, y+, y+, 2, 1, 1
3, 0.2, -0.2, 0.5, x+, y-, y+, 3, 1, 1
4, 0.30000000000000004, -0.30000000000000004, 0.6, x+, y-, y+, 4, 1, 1
5, 0.4, -0.20000000000000004, 0.5, x+, y+, y-, 5, 1, 2
6, 0.30000000000000004, -0.10000000000000003, 0.6, x-, y+, y+, 5, 2, 3
7, 0.20000000000000004, -0.20000000000000004, 0.5, x-, y-, y-, 5, 3, 3
8, 0.30000000000000004, -0.30000000000000004, 0.4, x+, y-, y-, 6, 3, 3
9, 0.20000000000000004, -0.20000000000000004, 0.5, x-, y+, y+, 6, 4, 4
10, 0.30000000000000004, -0.10000000000000003, 0.4, x+, y+, y-, 7, 4, 5
11, 0.4, -2.7755575615628914e-17, 0.30000000000000004, x+, y+, y-, 8, 4, 6
12, 0.5, 0.09999999999999998, 0.20000000000000004, x+, y+, y-, 9, 4, 7
13, 0.6, 0.19999999999999998, 0.30000000000000004, x+, y+, y+, 10, 4, 8
14, 0.5, 0.09999999999999998, 0.20000000000000004, x-, y-, y-, 10, 5, 8
15, 0.4, 0.19999999999999998, 0.30000000000000004, x-, y+, y+, 10, 6, 9
16, 0.30000000000000004, 0.09999999999999998, 0.4, x-, y-, y+, 10, 7, 9
17, 0.20000000000000004, 0.19999999999999998, 0.30000000000000004, x-, y+, y-, 10, 8, 10
18, 0.30000000000000004, 0.09999999999999998, 0.4, x+, y-, y+, 11, 8, 10
19, 0.20000000000000004, 0.19999999999999998, 0.30000000000000004, x-, y+, y-, 11, 9, 11
20, 0.10000000000000003, 0.09999999999999998, 0.4, x-, y-, y+, 11, 10, 11
21, 0.20000000000000004, -2.7755575615628914e-17, 0.5, x+, y-, y+, 12, 10, 11
22, 0.10000000000000003, 0.09999999999999998, 0.6, x-, y+, y+, 12, 11, 12
23, 2.7755575615628914e-17, 0.19999999999999998, 0.5, x-, y+, y-, 12, 12, 13
24, -0.09999999999999998, 0.09999999999999998, 0.4, x-, y-, y-, 12, 13, 13
25, -0.19999999999999998, 0.19999999999999998, 0.30000000000000004, x-, y+, y-, 12, 14, 14
26, -0.3, 0.09999999999999998, 0.4, x-, y-, y+, 12, 15, 14
27, -0.4, 0.19999999999999998, 0.30000000000000004, x-, y+, y-, 12, 16, 15
28, -0.30000000000000004, 0.3, 0.20000000000000004, x+, y+, y-, 13, 16, 16
29, -0.20000000000000004, 0.19999999999999998, 0.10000000000000003, x+, y-, y-, 14, 16, 16
30, -0.10000000000000003, 0.09999999999999998, 0.20000000000000004, x+, y-, y+, 15, 16, 16
31, -0.20000000000000004, -2.7755575615628914e-17, 0.10000000000000003, x-, y-, y-, 15, 17, 16
32, -0.30000000000000004, -0.10000000000000003, 0.10000000000000003, x-, y-, y-, 15, 18, 16
33, -0.4, -2.7755575615628914e-17, 0.20000000000000004, x-, y+, y+, 15, 19, 17
34, -0.5, 0.09999999999999998, 0.10000000000000003, x-, y+, y-, 15, 20, 18
35, -0.4, 0.19999999999999998, 0.10000000000000003, x+, y+, y-, 16, 20, 19
36, -0.5, 0.09999999999999998, 0.20000000000000004, x-, y-, y+, 16, 21, 19
37, -0.4, -2.7755575615628914e-17, 0.30000000000000004, x+, y-, y+, 17, 21, 19
38, -0.30000000000000004, -0.10000000000000003, 0.4, x+, y-, y+, 18, 21, 19
39, -0.20000000000000004, -0.20000000000000004, 0.5, x+, y-, y+, 19, 21, 19
