0, -0.1, 0.1, 0.6, x-, y+, y+, 0, 1, 1
1, -0.2, 0.2, 0.5, x-, y+, y-, 0, 2, 2
2, -0.30000000000000004, 0.1, 0.4, x-, y-, y-, 0, 3, 2
3, -0.4, 0.0, 0.30000000000000004, x-, y-, y-, 0, 4, 2
4, -0.30000000000000004, -0.1, 0.4, x+, y-, y+, 1, 4, 2
5, -0.20000000000000004, -0.2, 0.5, x+, y-, y+, 2, 4, 2
6, -0.10000000000000003, -0.1, 0.6, x+, y+, y+, 3, 4, 3
7, -0.20000000000000004, 0.0, 0.7, x-, y+, y+, 3, 5, 4
8, -0.30000000000000004, -0.1, 0.7999999999999999, x-, y-, y+, 3, 6, 4
9, -0.20000000000000004, 0.0, 0.8999999999999999, x+, y+, y+, 4, 6, 5
10, -0.10000000000000003, -0.1, 0.7999999999999999, x+, y-, y-, 5, 6, 5
11, -0.20000000000000004, -0.2, 0.8999999999999999, x-, y-, y+, 5, 7, 5
12, -0.10000000000000003, -0.1, 0.7999999999999999, x+, y+, y-, 6, 7, 6
13, -2.7755575615628914e-17, -0.2, 0.8999999999999999, x+, y-, y+, 7, 7, 6
14, 0.09999999999999998, -0.30000000000000004, 0.9999999999999999, x+, y-, y+, 8, 7, 6
15, 0.19999999999999998, -0.4, 1.0999999999999999, x+, y-, y+, 9, 7, 6
16, 0.3, -0.5, 0.9999999999999999, x+, y-, y-, 10, 7, 6
17, 0.4, -0.4, 1.0999999999999999, x+, y+, y+, 11, 7, 7
18, 0.5, -0.30000000000000004, 1.2, x+, y+, y+, 12, 7, 8
19, 0.6, -0.4, 1.0999999999999999, x+, y-, y-, 13, 7, 8
20, 0.7, -0.5, 0.9999999999999999, x+, y-, y-, 14, 7, 8
21, 0.6, -0.4, 0.8999999999999999, x-, y+, y-, 14, 8, 9
22, 0.5, -0.5, 0.7999999999999999, x-, y-, y-, 14, 9, 9
23, 0.6, -0.4, 0.8999999999999999, x+, y+, y+, 15, 9, 10
24, 0.7, -0.5, 0.7999999999999999, x+, y-, y-, 16, 9, 10
25, 0.7999999999999999, -0.4, 0.8999999999999999, x+, y+, y+, 17, 9, 11
26, 0.8999999999999999, -0.5, 0.7999999999999999, x+, y-, y-, 18, 9, 11
27, 0.9999999999999999, -0.6, 0.8999999999999999, x+, y-, y+, 19, 9, 11
28, 0.8999999999999999, -0.7, 0.7999999999999999, x-, y-, y-, 19, 10, 11
29, 0.9999999999999999, -0.7999999999999999, 0.7, x+, y-, y-, 20, 10, 11
30, 1.0999999999999999, -0.8999999999999999, 0.7999999999999999, x+, y-, y+, 21, 10, 11
31, 1.2, -0.7999999999999999, 0.7, x+, y+, y-, 22, 10, 12
32, 1.3, -0.8999999999999999, 0.7999999999999999, x+, y-, y+, 23, 10, 12
33, 1.2, -0.9999999999999999, 0.7, x-, y-, y-, 23, 11, 12
34, 1.0999999999999999, -1.0999999999999999, 0.7999999999999999, x-, y-, y+, 23, 12, 12
35, 0.9999999999999999, -1.2, 0.7, x-, y-, y-, 23, 13, 12
36, 1.0999999999999999, -1.0999999999999999, 0.7999999999999999, x+, y+, y+, 24, 13, 13
37, 1.2, -0.9999999999999999, 0.8999999999999999, x+, y+, y+, 25, 13, 14
38, 1.0999999999999999, -0.8999999999999999, 0.7999999999999999, x-, y+, y-, 25, 14, 15
39, 0.9999999999999999, -0.9999999999999999, 0.7, x-, y-, y-, 25, 15, 15
