0, -0.1, -0.1, 0.4, x-, y-, y-, 0, 1, 0
1, 0.0, -0.2, 0.30000000000000004, x+, y-, y-, 1, 1, 0
2, -0.1, -0.30000000000000004, 0.4, x-, y-, y+, 1, 2, 0
3, 0.0, -0.20000000000000004, 0.30000000000000004, x+, y+, y-, 2, 2, 1
4, -0.1, -0.30000000000000004, 0.4, x-, y-, y+, 2, 3, 1
5, -0.2, -0.4, 0.5, x-, y-, y+, 2, 4, 1
6, -0.30000000000000004, -0.5, 0.6, x-, y-, y+, 2, 5, 1
7, -0.20000000000000004, -0.4, 0.5, x+, y+, y-, 3, 5, 2
8, -0.10000000000000003, -0.30000000000000004, 0.4, x+, y+, y-, 4, 5, 3
9, -2.7755575615628914e-17, -0.20000000000000004, 0.5, x+, y+, y+, 5, 5, 4
10, -0.10000000000000003, -0.10000000000000003, 0.6, x-, y+, y+, 5, 6, 5
11, -2.7755575615628914e-17, -0.20000000000000004, 0.5, x+, y-, y-, 6, 6, 5
12, -0.10000000000000003, -0.30000000000000004, 0.4, x-, y-, y-, 6, 7, 5
13, -2.7755575615628914e-17, -0.20000000000000004, 0.30000000000000004, x+, y+, y-, 7, 7, 6
14, -0.10000000000000003, -0.10000000000000003, 0.20000000000000004, x-, y+, y-, 7, 8, 7
15, -0.20000000000000004, -2.7755575615628914e-17, 0.30000000000000004, x-, y+, y+, 7, 9, 8
16, -0.30000000000000004, 0.09999999999999998, 0.4, x-, y+, y+, 7, 10, 9
17, -0.20000000000000004, -2.7755575615628914e-17, 0.30000000000000004, x+, y-, y-, 8, 10, 9
18, -0.10000000000000003, 0.09999999999999998, 0.4, x+, y+, y+, 9, 10, 10
19, -0.20000000000000004, -2.7755575615628914e-17, 0.30000000000000004, x-, y-, y-, 9, 11, 10
20, -0.30000000000000004, -0.10000000000000003, 0.20000000000000004, x-, y-, y-, 9, 12, 10
21, -0.4, -0.20000000000000004, 0.10000000000000003, x-, y-, y-, 9, 13, 10
22, -0.30000000000000004, -0.30000000000000004, 0.20000000000000004, x+, y-, y+, 10, 13, 10
23, -0.20000000000000004, -0.20000000000000004, 0.30000000000000004, x+, y+, y+, 11, 13, 11
24, -0.30000000000000004, -0.10000000000000003, 0.4, x-, y+, y+, 11, 14, 12
25, -0.20000000000000004, -0.20000000000000004, 0.5, x+, y-, y+, 12, 14, 12
26, -0.30000000000000004, -0.30000000000000004, 0.6, x-, y-, y+, 12, 15, 12
27, -0.4, -0.4, 0.7, x-, y-, y+, 12, 16, 12
28, -0.30000000000000004, -0.5, 0.6, x+, y-, y-, 13, 16, 12
29, -0.20000000000000004, -0.4, 0.5, x+, y+, y-, 14, 16, 13
30, -0.30000000000000004, -0.30000000000000004, 0.4, x-, y+, y-, 14, 17, 14
31, -0.4, -0.4, 0.5, x-, y-, y+, 14, 18, 14
32, -0.5, -0.5, 0.6, x-, y-, y+, 14, 19, 14
33, -0.6, -0.6, 0.5, x-, y-, y-, 14, 20, 14
34, -0.5, -0.7, 0.4, x+, y-, y-, 15, 20, 14
35, -0.4, -0.6, 0.5, x+, y+, y+, 16, 20, 15
36, -0.5, -0.7, 0.6, x-, y-, y+, 16, 21, 15
37, -0.6, -0.7999999999999999, 0.7, x-, y-, y+, 16, 22, 15
38, -0.5, -0.7, 0.6, x+, y+, y-, 17, 22, 16
39, -0.4, -0.6, 0.5, x+, y+, y-, 18, 22, 17
